700	4090
206	2379
226	1023
1627	4090
2204	4090
2801	4767
700	1627
2379	5340
2375	2668
700	2204
1561	4922
817	2441
129	2476
1023	4767
1111	2441
1207	2441
1023	2801
1099	2379
972	2249
5417	5573
1314	2441
817	1111
817	1207
3739	5000
1111	1207
700	4196
2073	2441
817	1314
2441	2471
1909	5573
1111	1314
4767	5359
1207	1314
3106	5573
2479	5340
206	1627
571	3723
2785	4624
1627	2204
2801	5359
1023	2375
817	2471
1627	4196
129	206
1111	2471
1023	4515
1207	2471
1207	2073
700	813
2801	4102
2689	5417
1561	4622
4216	5703
2785	5057
2441	2666
2370	4344
1314	2471
4718	5487
2348	4102
504	3221
2689	3106
3221	4216
4102	4767
1099	2479
2846	4090
226	4767
4190	5073
1314	2073
4624	5057
648	3137
1927	2379
2462	3561
19	2462
1909	5417
972	3775
1099	2476
817	2666
4622	4922
1304	4102
2161	5104
1111	5677
3106	5417
4190	5573
226	248
813	1627
206	5340
3221	3797
571	1163
2204	4196
3106	5000
1111	2666
398	3172
3221	5703
3535	5036
1207	2666
1941	2396
417	4515
1941	3725
5000	5573
2348	3723
2918	4102
1304	2375
3739	5573
2822	3492
2689	5036
398	3260
3106	3739
3797	4216
700	2846
813	4196
206	1099
713	4190
1023	5359
2972	5573
713	2249
398	4543
3141	4718
2801	2918
5276	5573
907	4662
1318	4641
398	3441
2918	4767
1108	2785
505	3492
783	3930
2785	3835
2362	3137
2034	2519
1909	3106
1318	1960
612	2260
2073	2666
713	1771
2471	2666
713	5036
2972	3106
2785	4859
2260	5527
3133	3492
851	3930
3739	4190
398	1032
504	4216
2375	4515
144	3137
655	2462
5000	5073
129	5340
1108	4624
505	2822
2972	5417
3835	4624
813	2204
2375	4767
2362	3563
1318	1836
2375	4102
2972	3739
2114	5636
1895	5573
2785	4673
2348	2668
504	3797
248	4102
2822	3133
3492	5114
4444	5359
3106	4190
729	4718
1304	2918
1895	2689
2972	5000
2822	4779
3797	5703
2689	5073
1080	2516
3133	3374
398	5232
3739	5417
19	3696
4090	5586
757	1188
2191	3930
1446	5546
4196	5340
1163	3723
5276	5417
4624	4859
106	3492
2822	5114
3106	5276
1108	5057
504	5703
3835	5057
5073	5573
398	848
417	4102
571	2348
148	3561
2104	2785
2721	5369
2516	4432
1099	4767
3874	4624
19	148
505	3133
4190	5417
3172	3441
134	302
1155	2972
3492	3931
106	2822
757	5380
3172	3260
3739	5276
468	1782
1909	4190
106	3133
3739	5335
1895	4190
972	1146
3133	3257
5000	5417
3257	3492
505	5114
2278	3221
3441	4543
1099	2801
4190	5276
4859	5057
3739	5073
2785	5459
2822	3931
1895	3739
3172	4543
2516	2533
1155	5573
2689	5335
417	2668
1895	5417
713	5335
3133	5114
4673	5057
1155	2689
1909	3739
700	5586
3325	4426
2104	4624
1839	4537
3874	5057
1099	5340
2293	3930
713	3775
2972	5276
398	3609
106	505
2822	3257
248	417
4624	5459
2252	5546
3930	4142
5335	5573
556	648
1771	4190
713	1895
4446	5406
5000	5335
1909	5000
3260	3441
4102	5359
2204	2846
1909	2972
4859	5546
1771	3739
1627	2846
398	709
3141	5487
813	1927
700	5340
538	4718
3930	3976
505	3931
1080	2533
5335	5417
2287	2462
713	5276
398	2320
4190	5335
1909	5276
3260	4543
3994	5398
129	1099
3583	5487
2501	3137
2918	3723
4394	4718
3106	5073
1771	2972
448	4379
1921	4339
1743	2689
3691	4624
3133	3931
832	2462
2972	5335
454	2236
398	4729
4738	5000
3930	5061
106	5114
4190	5000
3106	5335
2972	4190
1743	5000
2104	5057
783	1907
2533	5154
355	2533
783	5658
3492	5411
3481	3930
2516	4050
5057	5459
1108	3978
4624	5110
3219	3930
398	2371
713	5417
355	5154
2397	4718
2278	3797
957	3930
417	3723
989	3492
655	3696
1155	5417
2785	4388
2156	2516
1318	3404
3172	5232
3441	5232
444	4718
1210	4379
3930	4073
972	1743
134	545
355	1080
2533	4432
1035	1105
3931	5114
3563	4491
2115	3644
3930	4769
3460	4537
3257	5114
965	3930
729	5487
398	5233
3011	4446
5000	5276
355	2516
1895	5073
1836	3909
2785	5731
121	2785
543	1885
3742	4718
2305	4955
2822	5411
3242	4718
2476	2846
1620	4718
1941	2129
2147	4718
1523	2877
248	4515
148	655
1155	3106
1318	3909
2278	3725
4388	4624
3691	5057
1108	3835
1960	4641
143	932
972	1771
1255	4718
417	1304
989	2822
19	655
1035	3058
1717	4718
4543	5232
3260	5232
106	3931
1080	5154
3324	3930
1770	1885
1892	3492
3782	4661
4077	5546
3739	4738
3782	4395
398	2793
985	4102
1073	3930
226	2348
5276	5335
5057	5110
648	2362
1895	5335
2567	3930
114	1035
2339	4624
248	1304
1743	5335
1836	4641
2339	2785
2785	3665
3596	4718
848	3172
3930	4867
1155	4190
226	5359
4624	5731
409	4276
4190	5036
655	3561
2305	3051
125	3654
1743	2249
248	2918
2249	3775
121	3691
394	3782
3133	5411
1155	3739
672	3930
536	4624
2932	4922
3278	4446
1080	2156
92	1693
1108	4859
1892	2822
1804	5398
1524	4718
505	989
3835	4859
398	1451
3437	3441
2248	3782
144	5553
505	5411
1979	4833
1561	1720
